#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,04020727272727273
1,5;0,019358441558441557
2,5;0,018975930735930735
3,5;0,018595151515151516
4,5;0,018316709956709958
5,5;0,017844329004329005
6,5;0,017451082251082252
7,5;0,017303030303030303
8,5;0,01688069264069264
9,5;0,01653835497835498
10,5;0,01606181818181818
11,5;0,015815064935064935
12,5;0,01571930735930736
13,5;0,01531861471861472
14,5;0,015047445887445887
15,5;0,014785974025974025
16,5;0,014527272727272727
17,5;0,014152554112554113
18,5;0,013842943722943722
19,5;0,013478787878787878
20,5;0,01326943722943723
21,5;0,01289108225108225
22,5;0,012659047619047618
23,5;0,012408311688311689
24,5;0,012005021645021645
25,5;0,01196121212121212
26,5;0,011518614718614718
27,5;0,011365194805194805
28,5;0,01111099567099567
29,5;0,010896623376623376
30,5;0,010555151515151516
31,5;0,010298008658008659
32,5;0,01013021645021645
33,5;0,010038441558441559
34,5;0,009748917748917748
35,5;0,009629437229437229
36,5;0,009415757575757576
37,5;0,009212813852813853
38,5;0,00913904761904762
39,5;0,008856103896103897
40,5;0,008833939393939394
41,5;0,008582164502164502
42,5;0,008509090909090909
43,5;0,008221818181818183
44,5;0,008097316017316017
45,5;0,007925021645021645
46,5;0,007773160173160173
47,5;0,007632207792207792
48,5;0,007454545454545454
49,5;0,007386493506493507
50,5;0,007167445887445887
51,5;0,006965021645021645
52,5;0,006816277056277056
53,5;0,006681904761904762
54,5;0,006520519480519481
55,5;0,006424935064935065
56,5;0,006229090909090909
57,5;0,00617974025974026
58,5;0,006096277056277057
59,5;0,005944761904761905
60,5;0,005920865800865801
61,5;0,005766926406926407
62,5;0,005680692640692641
63,5;0,005575584415584416
64,5;0,005511861471861472
65,5;0,005375584415584416
66,5;0,005211082251082251
67,5;0,005118268398268398
68,5;0,005015930735930736
69,5;0,005010909090909091
70,5;0,004786839826839827
71,5;0,004746666666666666
72,5;0,004650389610389611
73,5;0,00451012987012987
74,5;0,0044514285714285715
75,5;0,004341471861471861
76,5;0,004266839826839827
77,5;0,004135064935064935
78,5;0,004102510822510823
79,5;0,19304900432900432
