#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,03916646923634639
1,0;2,0;0,019303271993357816
2,0;3,0;0,01829374826540647
3,0;4,0;0,017805772646143088
4,0;5,0;0,01786476413449999
5,0;6,0;0,017202793320652335
6,0;7,0;0,01688704288491979
7,0;8,0;0,016927157650702268
8,0;9,0;0,01648822154972348
9,0;10,0;0,016334009891698805
10,0;11,0;0,015793104751992082
11,0;12,0;0,015415655967262567
12,0;13,0;0,0151041494314278
13,0;14,0;0,01483726430749134
14,0;15,0;0,014478125486595515
15,0;16,0;0,014063746493376503
16,0;17,0;0,014261771997388723
17,0;18,0;0,013665148727526765
18,0;19,0;0,013448391716543736
19,0;20,0;0,013201731783098017
20,0;21,0;0,012928666638275275
21,0;22,0;0,012723352669093052
22,0;23,0;0,0124618175387258
23,0;24,0;0,012168589625227542
24,0;25,0;0,012244273594984324
25,0;26,0;0,011717351725425122
26,0;27,0;0,011385558360821823
27,0;28,0;0,011443736014968526
28,0;29,0;0,011175866506841364
29,0;30,0;0,010736776571347233
30,0;31,0;0,010657414154537692
31,0;32,0;0,010305066774902368
32,0;33,0;0,010131260412838626
33,0;34,0;0,009987393538317624
34,0;35,0;0,00967620355160441
35,0;36,0;0,009461914683524574
36,0;37,0;0,009159457221464088
37,0;38,0;0,009060644271502521
38,0;39,0;0,009015337264353327
39,0;40,0;0,008803473183438916
40,0;41,0;0,00865207573068217
41,0;42,0;0,008306847049773771
42,0;43,0;0,00835026703761338
43,0;44,0;0,008284119501912077
44,0;45,0;0,007945750952378842
45,0;46,0;0,007870986072026962
46,0;47,0;0,007771592782009216
47,0;48,0;0,007606312351895935
48,0;49,0;0,007486236285528571
49,0;50,0;0,007660284760658054
50,0;51,0;0,007103219945003565
51,0;52,0;0,007249702006285381
52,0;53,0;0,007045533568825211
53,0;54,0;0,006934763837688175
54,0;55,0;0,006742249474776513
55,0;56,0;0,006534389531306425
56,0;57,0;0,006389588418990212
57,0;58,0;0,006132911220686389
58,0;59,0;0,006062022499998668
59,0;60,0;0,006062083615918175
60,0;61,0;0,00598021962527511
61,0;62,0;0,005845257914820486
62,0;63,0;0,005739912090950181
63,0;64,0;0,005551313064574156
64,0;65,0;0,005419176006553187
65,0;66,0;0,005161736426330377
66,0;67,0;0,005234333780972881
67,0;68,0;0,005194184278364361
68,0;69,0;0,004943481552961125
69,0;70,0;0,004900009851651163
70,0;71,0;0,004803460018965382
71,0;72,0;0,004731831116585847
72,0;73,0;0,004607075503509856
73,0;74,0;0,004543166273065737
74,0;75,0;0,004417867668551044
75,0;76,0;0,004308796124203061
76,0;77,0;0,004089423404100934
77,0;78,0;0,004265392329470331
78,0;79,0;0,004095809495331197
79,0;80,0;0,2041901202914582
