#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,038686263736263736
1,5;0,018763186813186814
2,5;0,01822032967032967
3,5;0,017895604395604395
4,5;0,01770686813186813
5,5;0,01736978021978022
6,5;0,016966208791208793
7,5;0,016513736263736263
8,5;0,016259065934065935
9,5;0,01588901098901099
10,5;0,01555934065934066
11,5;0,01543956043956044
12,5;0,014993131868131868
13,5;0,014718956043956044
14,5;0,014463461538461538
15,5;0,01421510989010989
16,5;0,013906868131868132
17,5;0,013653846153846154
18,5;0,013331043956043957
19,5;0,013025549450549451
20,5;0,012786263736263737
21,5;0,012605769230769231
22,5;0,012443681318681319
23,5;0,012195054945054944
24,5;0,012036538461538461
25,5;0,011750274725274725
26,5;0,011350824175824175
27,5;0,01126043956043956
28,5;0,010983241758241759
29,5;0,010746703296703297
30,5;0,010596978021978022
31,5;0,010358241758241758
32,5;0,01001401098901099
33,5;0,009762637362637362
34,5;0,009551098901098901
35,5;0,00943598901098901
36,5;0,009282417582417582
37,5;0,00909423076923077
38,5;0,008989835164835164
39,5;0,008899450549450549
40,5;0,008715934065934065
41,5;0,008465659340659341
42,5;0,008289835164835165
43,5;0,008143681318681319
44,5;0,008037362637362638
45,5;0,008086263736263736
46,5;0,007867307692307693
47,5;0,007620329670329671
48,5;0,0075774725274725275
49,5;0,007491483516483517
50,5;0,00728434065934066
51,5;0,007014010989010989
52,5;0,006850824175824176
53,5;0,0067332417582417585
54,5;0,006739285714285714
55,5;0,006589835164835165
56,5;0,00635989010989011
57,5;0,00624532967032967
58,5;0,00628489010989011
59,5;0,006006318681318681
60,5;0,005946428571428571
61,5;0,005784340659340659
62,5;0,005669505494505495
63,5;0,005566758241758242
64,5;0,005437637362637362
65,5;0,005277197802197802
66,5;0,0051052197802197805
67,5;0,0051137362637362635
68,5;0,005057692307692307
69,5;0,004887087912087912
70,5;0,004676648351648351
71,5;0,004708791208791209
72,5;0,004724450549450549
73,5;0,004592582417582418
74,5;0,0045535714285714285
75,5;0,004432142857142857
76,5;0,004291483516483516
77,5;0,004123626373626374
78,5;0,0040071428571428576
79,5;0,20792005494505494
