#histogram type: continuous-time histogram
#queue_occupancy_over_time
#(lowerBound+upperBound)/2 ; probability
0,5;0,03916646923634639
1,5;0,019303271993357816
2,5;0,01829374826540647
3,5;0,017805772646143088
4,5;0,01786476413449999
5,5;0,017202793320652335
6,5;0,01688704288491979
7,5;0,016927157650702268
8,5;0,01648822154972348
9,5;0,016334009891698805
10,5;0,015793104751992082
11,5;0,015415655967262567
12,5;0,0151041494314278
13,5;0,01483726430749134
14,5;0,014478125486595515
15,5;0,014063746493376503
16,5;0,014261771997388723
17,5;0,013665148727526765
18,5;0,013448391716543736
19,5;0,013201731783098017
20,5;0,012928666638275275
21,5;0,012723352669093052
22,5;0,0124618175387258
23,5;0,012168589625227542
24,5;0,012244273594984324
25,5;0,011717351725425122
26,5;0,011385558360821823
27,5;0,011443736014968526
28,5;0,011175866506841364
29,5;0,010736776571347233
30,5;0,010657414154537692
31,5;0,010305066774902368
32,5;0,010131260412838626
33,5;0,009987393538317624
34,5;0,00967620355160441
35,5;0,009461914683524574
36,5;0,009159457221464088
37,5;0,009060644271502521
38,5;0,009015337264353327
39,5;0,008803473183438916
40,5;0,00865207573068217
41,5;0,008306847049773771
42,5;0,00835026703761338
43,5;0,008284119501912077
44,5;0,007945750952378842
45,5;0,007870986072026962
46,5;0,007771592782009216
47,5;0,007606312351895935
48,5;0,007486236285528571
49,5;0,007660284760658054
50,5;0,007103219945003565
51,5;0,007249702006285381
52,5;0,007045533568825211
53,5;0,006934763837688175
54,5;0,006742249474776513
55,5;0,006534389531306425
56,5;0,006389588418990212
57,5;0,006132911220686389
58,5;0,006062022499998668
59,5;0,006062083615918175
60,5;0,00598021962527511
61,5;0,005845257914820486
62,5;0,005739912090950181
63,5;0,005551313064574156
64,5;0,005419176006553187
65,5;0,005161736426330377
66,5;0,005234333780972881
67,5;0,005194184278364361
68,5;0,004943481552961125
69,5;0,004900009851651163
70,5;0,004803460018965382
71,5;0,004731831116585847
72,5;0,004607075503509856
73,5;0,004543166273065737
74,5;0,004417867668551044
75,5;0,004308796124203061
76,5;0,004089423404100934
77,5;0,004265392329470331
78,5;0,004095809495331197
79,5;0,2041901202914582
