#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
Autocorrelation Mean of Batches (lag=0);770;48.4973083440693;1040.1585626118438;32.251489308431076;0.6650160681005111;14.596517600000048;305.9178891999996;1038.8077073357242;0.9987012987012984
Autocorrelation Mean of Batches (lag=1);770;48.4973083440693;1040.1585626118438;32.251489308431076;0.6650160681005111;14.596517600000048;305.9178891999996;262.5612245682719;0.2524242303105973
Autocorrelation Mean of Batches (lag=2);770;48.4973083440693;1040.1585626118438;32.251489308431076;0.6650160681005111;14.596517600000048;305.9178891999996;-38.35672974817862;-0.036875848670480264
Autocorrelation Mean of Batches (lag=3);770;48.4973083440693;1040.1585626118438;32.251489308431076;0.6650160681005111;14.596517600000048;305.9178891999996;-34.013344048563795;-0.03270015291049098
Autocorrelation Mean of Batches (lag=4);770;48.4973083440693;1040.1585626118438;32.251489308431076;0.6650160681005111;14.596517600000048;305.9178891999996;6.695069466370114;0.00643658544670224
Autocorrelation Mean of Batches (lag=5);770;48.4973083440693;1040.1585626118438;32.251489308431076;0.6650160681005111;14.596517600000048;305.9178891999996;10.44494115718544;0.010041681655687317
Autocorrelation Mean of Batches (lag=6);770;48.4973083440693;1040.1585626118438;32.251489308431076;0.6650160681005111;14.596517600000048;305.9178891999996;6.262953379425653;0.006021152547837845
Autocorrelation Mean of Batches (lag=7);770;48.4973083440693;1040.1585626118438;32.251489308431076;0.6650160681005111;14.596517600000048;305.9178891999996;-53.939654379747935;-0.05185714593773585
Autocorrelation Mean of Batches (lag=8);770;48.4973083440693;1040.1585626118438;32.251489308431076;0.6650160681005111;14.596517600000048;305.9178891999996;-12.196649128521585;-0.011725759482184845
Autocorrelation Mean of Batches (lag=9);770;48.4973083440693;1040.1585626118438;32.251489308431076;0.6650160681005111;14.596517600000048;305.9178891999996;-23.928579800244734;-0.023004742411733784
Autocorrelation Mean of Batches (lag=10);770;48.4973083440693;1040.1585626118438;32.251489308431076;0.6650160681005111;14.596517600000048;305.9178891999996;-13.555205153609677;-0.013031864218444237
