#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
Autocorrelation Mean of Batches (lag=0);1266;6.5878222748815185;31.650615686175453;5.62588799090201;0.8539829637409566;0.0;24.155;31.62561519985146;0.9992101105845181
Autocorrelation Mean of Batches (lag=1);1266;6.5878222748815185;31.650615686175453;5.62588799090201;0.8539829637409566;0.0;24.155;30.697597163613278;0.9698894159907784
Autocorrelation Mean of Batches (lag=2);1266;6.5878222748815185;31.650615686175453;5.62588799090201;0.8539829637409566;0.0;24.155;29.806392551565416;0.9417318401355596
Autocorrelation Mean of Batches (lag=3);1266;6.5878222748815185;31.650615686175453;5.62588799090201;0.8539829637409566;0.0;24.155;29.001111683742185;0.9162890217143379
Autocorrelation Mean of Batches (lag=4);1266;6.5878222748815185;31.650615686175453;5.62588799090201;0.8539829637409566;0.0;24.155;28.29543597825365;0.8939932246124583
Autocorrelation Mean of Batches (lag=5);1266;6.5878222748815185;31.650615686175453;5.62588799090201;0.8539829637409566;0.0;24.155;27.637084687659186;0.8731926406010067
Autocorrelation Mean of Batches (lag=6);1266;6.5878222748815185;31.650615686175453;5.62588799090201;0.8539829637409566;0.0;24.155;27.014321912999307;0.853516474398278
Autocorrelation Mean of Batches (lag=7);1266;6.5878222748815185;31.650615686175453;5.62588799090201;0.8539829637409566;0.0;24.155;26.449046344378704;0.835656614286062
Autocorrelation Mean of Batches (lag=8);1266;6.5878222748815185;31.650615686175453;5.62588799090201;0.8539829637409566;0.0;24.155;25.87032406816159;0.8173719059582587
Autocorrelation Mean of Batches (lag=9);1266;6.5878222748815185;31.650615686175453;5.62588799090201;0.8539829637409566;0.0;24.155;25.370843787359462;0.8015908454646932
Autocorrelation Mean of Batches (lag=10);1266;6.5878222748815185;31.650615686175453;5.62588799090201;0.8539829637409566;0.0;24.155;24.86015249110374;0.785455573363848
