#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
waiting time/customer;10350;54.291617971014766;1761.196084251728;41.96660677552723;0.7729850084396523;0.0;183.786
Naive Waiting Counter;0;0.0;0.0;0.0;0.0;Infinity;-Infinity
service time/customer;10350;0.9951433816425109;0.9783595019056662;0.9891205699537677;0.99394779506165;0.001;10.476
Probability Excess Waiting time;10350;0.9104347826086957;0.08155116856491065;0.28557165224319914;0.31366513856702866;0.0;1.0
