#histogram type: continuous-time histogram
#queue_occupancy_over_time
#(lowerBound+upperBound)/2 ; probability
0,5;0,15305889706637693
1,5;0,0
2,5;0,0
3,5;0,0
4,5;0,0
5,5;0,0
6,5;0,0
7,5;0,0
8,5;0,0
9,5;0,0
10,5;0,0
11,5;0,0
12,5;0,0
13,5;0,0
14,5;0,0
15,5;0,0
16,5;0,0
17,5;0,0
18,5;0,0
19,5;0,0
20,5;0,0
21,5;0,0
22,5;0,0
23,5;0,001873451486138026
24,5;7,835066624183195E-5
25,5;0,0015078150436761437
26,5;0,0033464440114844667
27,5;0,010655690608889145
28,5;0,0013249968224452024
29,5;9,384668689854981E-4
30,5;0,004095128155573083
31,5;0,024330493556963546
32,5;0,025347311092190877
33,5;0,0030852751240116934
34,5;0,005672588235908633
35,5;0,012598787131686577
36,5;0,008313876251216611
37,5;0,003440464810974665
38,5;0,01146183190822177
39,5;5,380079081939127E-4
40,5;0,0014520990143486187
41,5;0,010034108656703945
42,5;4,979620121147541E-4
43,5;0,002571642978648573
44,5;0,0025211503270705033
45,5;9,227967357371318E-5
46,5;0,0025228914529869884
47,5;1,2361994007044596E-4
48,5;3,4474293146406055E-4
49,5;0,005834512946141752
50,5;0,004763720507503382
51,5;0,0029842898208555543
52,5;0,006066082693034278
53,5;0,004136915177568727
54,5;0,02024058877913992
55,5;0,006438683639162101
56,5;0,0036424354172869427
57,5;0,015725849277693913
58,5;0,014964977252189902
59,5;0,0032088950640821396
60,5;0,003598907269374814
61,5;7,364962626732203E-4
62,5;0,004211783591977588
63,5;0,006753827430045913
64,5;0,005667364858159177
65,5;0,008266865851471513
66,5;0,017120491136798522
67,5;0,011820503847017712
68,5;0,0017655016793159464
69,5;0,011514065685716326
70,5;0,01775774322223209
71,5;0,00986696056872137
72,5;0,015549995560128912
73,5;0,005747456650317494
74,5;0,004302322139634817
75,5;0,0047968018999166
76,5;0,0057387510207350684
77,5;8,183291807480225E-4
78,5;0,0012170470156231228
79,5;0,48291346081857295
