#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,165086887835703
1,5;0,08214849921011058
2,5;0,09162717219589257
3,5;0,07187993680884676
4,5;0,08135860979462875
5,5;0,06951026856240126
6,5;0,05924170616113744
7,5;0,04028436018957346
8,5;0,05134281200631911
9,5;0,03949447077409163
10,5;0,03238546603475513
11,5;0,03317535545023697
12,5;0,02764612954186414
13,5;0,026856240126382307
14,5;0,018167456556082148
15,5;0,016587677725118485
16,5;0,020537124802527645
17,5;0,026066350710900472
18,5;0,015007898894154818
19,5;0,01263823064770932
20,5;0,005529225908372828
21,5;0,005529225908372828
22,5;0,0071090047393364926
23,5;0,0
24,5;7,898894154818325E-4
25,5;0,0
26,5;0,0
27,5;0,0
28,5;0,0
29,5;0,0
30,5;0,0
31,5;0,0
32,5;0,0
33,5;0,0
34,5;0,0
35,5;0,0
36,5;0,0
37,5;0,0
38,5;0,0
39,5;0,0
40,5;0,0
41,5;0,0
42,5;0,0
43,5;0,0
44,5;0,0
45,5;0,0
46,5;0,0
47,5;0,0
48,5;0,0
49,5;0,0
50,5;0,0
51,5;0,0
52,5;0,0
53,5;0,0
54,5;0,0
55,5;0,0
56,5;0,0
57,5;0,0
58,5;0,0
59,5;0,0
60,5;0,0
61,5;0,0
62,5;0,0
63,5;0,0
64,5;0,0
65,5;0,0
66,5;0,0
67,5;0,0
68,5;0,0
69,5;0,0
70,5;0,0
71,5;0,0
72,5;0,0
73,5;0,0
74,5;0,0
75,5;0,0
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
