#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; probability density
0,0;1,0;0,14268232423275945
1,0;2,0;0,09171457014387707
2,0;3,0;0,09047127747597097
3,0;4,0;0,08139944327151165
4,0;5,0;0,07774056916141503
5,0;6,0;0,09222608798976385
6,0;7,0;0,07435629174195736
7,0;8,0;0,03886738646260051
8,0;9,0;0,039760731369085485
9,0;10,0;0,04122500554265088
10,0;11,0;0,021647493200290392
11,0;12,0;0,028054507805356593
12,0;13,0;0,03026649645052985
13,0;14,0;0,018298717727643556
14,0;15,0;0,020191913381046016
15,0;16,0;0,019937603517156136
16,0;17,0;0,016659107408604223
17,0;18,0;0,018316106436285597
18,0;19,0;0,019342764775692904
19,0;20,0;0,018526219999043622
20,0;21,0;0,009998507469174892
21,0;22,0;0,005718711554651987
22,0;23,0;0,002598162882931968
23,0;24,0;0,0
24,0;25,0;0,0
25,0;26,0;0,0
26,0;27,0;0,0
27,0;28,0;0,0
28,0;29,0;0,0
29,0;30,0;0,0
30,0;31,0;0,0
31,0;32,0;0,0
32,0;33,0;0,0
33,0;34,0;0,0
34,0;35,0;0,0
35,0;36,0;0,0
36,0;37,0;0,0
37,0;38,0;0,0
38,0;39,0;0,0
39,0;40,0;0,0
40,0;41,0;0,0
41,0;42,0;0,0
42,0;43,0;0,0
43,0;44,0;0,0
44,0;45,0;0,0
45,0;46,0;0,0
46,0;47,0;0,0
47,0;48,0;0,0
48,0;49,0;0,0
49,0;50,0;0,0
50,0;51,0;0,0
51,0;52,0;0,0
52,0;53,0;0,0
53,0;54,0;0,0
54,0;55,0;0,0
55,0;56,0;0,0
56,0;57,0;0,0
57,0;58,0;0,0
58,0;59,0;0,0
59,0;60,0;0,0
60,0;61,0;0,0
61,0;62,0;0,0
62,0;63,0;0,0
63,0;64,0;0,0
64,0;65,0;0,0
65,0;66,0;0,0
66,0;67,0;0,0
67,0;68,0;0,0
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
