#histogram type: continuous-time histogram
#queue_occupancy_over_time
#(lowerBound+upperBound)/2 ; probability
0,5;0,14268232423275945
1,5;0,09171457014387707
2,5;0,09047127747597097
3,5;0,08139944327151165
4,5;0,07774056916141503
5,5;0,09222608798976385
6,5;0,07435629174195736
7,5;0,03886738646260051
8,5;0,039760731369085485
9,5;0,04122500554265088
10,5;0,021647493200290392
11,5;0,028054507805356593
12,5;0,03026649645052985
13,5;0,018298717727643556
14,5;0,020191913381046016
15,5;0,019937603517156136
16,5;0,016659107408604223
17,5;0,018316106436285597
18,5;0,019342764775692904
19,5;0,018526219999043622
20,5;0,009998507469174892
21,5;0,005718711554651987
22,5;0,002598162882931968
23,5;0,0
24,5;0,0
25,5;0,0
26,5;0,0
27,5;0,0
28,5;0,0
29,5;0,0
30,5;0,0
31,5;0,0
32,5;0,0
33,5;0,0
34,5;0,0
35,5;0,0
36,5;0,0
37,5;0,0
38,5;0,0
39,5;0,0
40,5;0,0
41,5;0,0
42,5;0,0
43,5;0,0
44,5;0,0
45,5;0,0
46,5;0,0
47,5;0,0
48,5;0,0
49,5;0,0
50,5;0,0
51,5;0,0
52,5;0,0
53,5;0,0
54,5;0,0
55,5;0,0
56,5;0,0
57,5;0,0
58,5;0,0
59,5;0,0
60,5;0,0
61,5;0,0
62,5;0,0
63,5;0,0
64,5;0,0
65,5;0,0
66,5;0,0
67,5;0,0
68,5;0,0
69,5;0,0
70,5;0,0
71,5;0,0
72,5;0,0
73,5;0,0
74,5;0,0
75,5;0,0
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
