#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
Autocorrelation Mean of Batches (lag=0);34;88.85437058823533;142.54428727607328;11.9391912320757;0.1343680806361651;58.4076;105.6037;138.3518082385417;0.9705882352941176
Autocorrelation Mean of Batches (lag=1);34;88.85437058823533;142.54428727607328;11.9391912320757;0.1343680806361651;58.4076;105.6037;114.19791496346261;0.8011398923500126
Autocorrelation Mean of Batches (lag=2);34;88.85437058823533;142.54428727607328;11.9391912320757;0.1343680806361651;58.4076;105.6037;88.37843759582393;0.6200068714409901
Autocorrelation Mean of Batches (lag=3);34;88.85437058823533;142.54428727607328;11.9391912320757;0.1343680806361651;58.4076;105.6037;70.36980223486626;0.4936697469929274
Autocorrelation Mean of Batches (lag=4);34;88.85437058823533;142.54428727607328;11.9391912320757;0.1343680806361651;58.4076;105.6037;47.566906936745;0.3336991460388699
Autocorrelation Mean of Batches (lag=5);34;88.85437058823533;142.54428727607328;11.9391912320757;0.1343680806361651;58.4076;105.6037;27.239251269520537;0.1910932510172421
Autocorrelation Mean of Batches (lag=6);34;88.85437058823533;142.54428727607328;11.9391912320757;0.1343680806361651;58.4076;105.6037;5.818203760854885;0.040816814703955505
Autocorrelation Mean of Batches (lag=7);34;88.85437058823533;142.54428727607328;11.9391912320757;0.1343680806361651;58.4076;105.6037;-19.09717487918624;-0.13397362492822812
Autocorrelation Mean of Batches (lag=8);34;88.85437058823533;142.54428727607328;11.9391912320757;0.1343680806361651;58.4076;105.6037;-27.691391061811373;-0.19426517604441032
Autocorrelation Mean of Batches (lag=9);34;88.85437058823533;142.54428727607328;11.9391912320757;0.1343680806361651;58.4076;105.6037;-31.585189872886076;-0.2215815903706707
Autocorrelation Mean of Batches (lag=10);34;88.85437058823533;142.54428727607328;11.9391912320757;0.1343680806361651;58.4076;105.6037;-30.03773801465468;-0.2107256529788455
