#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
waiting time/customer;11080;32.415860379061535;675.8946983389254;25.997974889189454;0.8020140321798276;0.0;129.297
Naive Waiting Counter;0;0.0;0.0;0.0;0.0;Infinity;-Infinity
service time/customer;11080;0.9811959386281573;0.9674483862819125;0.9835895415679817;1.0024394749770071;0.001;9.474
Probability Excess Waiting time;11080;0.8654332129963899;0.11646907848881825;0.3412756634874779;0.3943408438253473;0.0;1.0
