#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
Autocorrelation Mean of Batches (lag=0);1108;32.41586037906133;669.5492143406638;25.875649061244122;0.7982403909278377;0.04190000000000001;124.67699999999999;668.9449280461325;0.9990974729241878
Autocorrelation Mean of Batches (lag=1);1108;32.41586037906133;669.5492143406638;25.875649061244122;0.7982403909278377;0.04190000000000001;124.67699999999999;655.9144975853382;0.9796359752751673
Autocorrelation Mean of Batches (lag=2);1108;32.41586037906133;669.5492143406638;25.875649061244122;0.7982403909278377;0.04190000000000001;124.67699999999999;636.6275499205987;0.9508301052186513
Autocorrelation Mean of Batches (lag=3);1108;32.41586037906133;669.5492143406638;25.875649061244122;0.7982403909278377;0.04190000000000001;124.67699999999999;618.85962089093;0.9242929535812389
Autocorrelation Mean of Batches (lag=4);1108;32.41586037906133;669.5492143406638;25.875649061244122;0.7982403909278377;0.04190000000000001;124.67699999999999;602.1889559949439;0.8993946122212201
Autocorrelation Mean of Batches (lag=5);1108;32.41586037906133;669.5492143406638;25.875649061244122;0.7982403909278377;0.04190000000000001;124.67699999999999;585.339634755638;0.8742294400749154
Autocorrelation Mean of Batches (lag=6);1108;32.41586037906133;669.5492143406638;25.875649061244122;0.7982403909278377;0.04190000000000001;124.67699999999999;568.6031976424331;0.8492328651335408
Autocorrelation Mean of Batches (lag=7);1108;32.41586037906133;669.5492143406638;25.875649061244122;0.7982403909278377;0.04190000000000001;124.67699999999999;552.6615858804521;0.8254233953880203
Autocorrelation Mean of Batches (lag=8);1108;32.41586037906133;669.5492143406638;25.875649061244122;0.7982403909278377;0.04190000000000001;124.67699999999999;536.9587734943253;0.8019705825853198
Autocorrelation Mean of Batches (lag=9);1108;32.41586037906133;669.5492143406638;25.875649061244122;0.7982403909278377;0.04190000000000001;124.67699999999999;520.9192164205803;0.7780148273843523
Autocorrelation Mean of Batches (lag=10);1108;32.41586037906133;669.5492143406638;25.875649061244122;0.7982403909278377;0.04190000000000001;124.67699999999999;506.0533249168261;0.7558119912292935
