#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; probability density
0,0;1,0;0,041541388336339774
1,0;2,0;0,02015893993818569
2,0;3,0;0,022313102548649252
3,0;4,0;0,015522911924724372
4,0;5,0;0,02100628443386325
5,0;6,0;0,013008739073888857
6,0;7,0;0,01228808333433916
7,0;8,0;0,01157087614259237
8,0;9,0;0,011977441778303571
9,0;10,0;0,00996385286643747
10,0;11,0;0,010827623339807831
11,0;12,0;0,008365813964821727
12,0;13,0;0,009370430390563466
13,0;14,0;0,011777244503218992
14,0;15,0;0,012337361267417548
15,0;16,0;0,01243836741753955
16,0;17,0;0,012221018154698405
17,0;18,0;0,013509141510342331
18,0;19,0;0,013637826794145564
19,0;20,0;0,012500895034281742
20,0;21,0;0,012518047022038308
21,0;22,0;0,009768011651735513
22,0;23,0;0,008501305592972803
23,0;24,0;0,00913402336354836
24,0;25,0;0,011811548478732125
25,0;26,0;0,012049861282164629
26,0;27,0;0,008405472264555163
27,0;28,0;0,011696385132366609
28,0;29,0;0,009317340904650286
29,0;30,0;0,005698180736756828
30,0;31,0;0,008301108317888226
31,0;32,0;0,011532397609212559
32,0;33,0;0,006317104316120754
33,0;34,0;0,006793457669211846
34,0;35,0;0,0078775721969364
35,0;36,0;0,00870576817718203
36,0;37,0;0,006859161579983031
37,0;38,0;0,008841350556591078
38,0;39,0;0,00508061842626247
39,0;40,0;0,008388774033088454
40,0;41,0;0,005263300708558597
41,0;42,0;0,003882701821041968
42,0;43,0;0,007084496953525646
43,0;44,0;0,0039054803867927517
44,0;45,0;0,004980973545010038
45,0;46,0;0,005199502574204808
46,0;47,0;0,0014309658356906729
47,0;48,0;0,0026597378686214
48,0;49,0;0,003185187652274939
49,0;50,0;0,003961020156671157
50,0;51,0;0,006070986904502723
51,0;52,0;0,006233159402497347
52,0;53,0;0,004099960332625141
53,0;54,0;0,004184903510086231
54,0;55,0;0,005749092192478699
55,0;56,0;0,0044008915040578064
56,0;57,0;0,0040571257388627106
57,0;58,0;0,006316378306056984
58,0;59,0;0,007132413617734466
59,0;60,0;0,005559875819608643
60,0;61,0;0,006172446810914581
61,0;62,0;0,0061029313473086036
62,0;63,0;0,007255563074801452
63,0;64,0;0,006257934495923499
64,0;65,0;0,008207180765887981
65,0;66,0;0,007803609921689832
66,0;67,0;0,00626020327737278
67,0;68,0;0,008224877261192375
68,0;69,0;0,008931920312046385
69,0;70,0;0,00791877326805535
70,0;71,0;0,00805027184085569
71,0;72,0;0,008881644115130313
72,0;73,0;0,013057290996903476
73,0;74,0;0,009455464319282528
74,0;75,0;0,01046316628779529
75,0;76,0;0,010828077096097687
76,0;77,0;0,011020651265512679
77,0;78,0;0,01323316693485176
78,0;79,0;0,010597659652108682
79,0;80,0;0,2619841800592079
