#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,03227053140096618
1,5;0,016618357487922706
2,5;0,015265700483091787
3,5;0,01323671497584541
4,5;0,01217391304347826
5,5;0,011884057971014493
6,5;0,01178743961352657
7,5;0,010821256038647344
8,5;0,01140096618357488
9,5;0,00966183574879227
10,5;0,015169082125603865
11,5;0,014106280193236715
12,5;0,011207729468599034
13,5;0,01323671497584541
14,5;0,014879227053140097
15,5;0,013333333333333334
16,5;0,013429951690821257
17,5;0,014589371980676329
18,5;0,012753623188405797
19,5;0,015942028985507246
20,5;0,015265700483091787
21,5;0,012657004830917874
22,5;0,011014492753623189
23,5;0,010724637681159421
24,5;0,009468599033816425
25,5;0,010821256038647344
26,5;0,007246376811594203
27,5;0,007439613526570048
28,5;0,008019323671497585
29,5;0,006473429951690821
30,5;0,006956521739130435
31,5;0,009468599033816425
32,5;0,00782608695652174
33,5;0,005410628019323672
34,5;0,0055072463768115944
35,5;0,00502415458937198
36,5;0,004734299516908212
37,5;0,004057971014492754
38,5;0,0044444444444444444
39,5;0,006473429951690821
40,5;0,00502415458937198
41,5;0,006280193236714976
42,5;0,008792270531400966
43,5;0,005797101449275362
44,5;0,00502415458937198
45,5;0,004251207729468599
46,5;0,007439613526570048
47,5;0,005603864734299517
48,5;0,004541062801932367
49,5;0,0034782608695652175
50,5;0,005410628019323672
51,5;0,00357487922705314
52,5;0,003864734299516908
53,5;0,006280193236714976
54,5;0,005990338164251208
55,5;0,00608695652173913
56,5;0,006666666666666667
57,5;0,007632850241545894
58,5;0,007439613526570048
59,5;0,011207729468599034
60,5;0,009371980676328502
61,5;0,006376811594202898
62,5;0,005797101449275362
63,5;0,006666666666666667
64,5;0,009951690821256038
65,5;0,008115942028985508
66,5;0,008695652173913044
67,5;0,010724637681159421
68,5;0,010338164251207729
69,5;0,010917874396135266
70,5;0,006473429951690821
71,5;0,011014492753623189
72,5;0,010241545893719806
73,5;0,010434782608695653
74,5;0,011980676328502415
75,5;0,01004830917874396
76,5;0,012077294685990338
77,5;0,011111111111111112
78,5;0,008985507246376812
79,5;0,257487922705314
