#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,03227053140096618
1,0;2,0;0,016618357487922706
2,0;3,0;0,015265700483091787
3,0;4,0;0,01323671497584541
4,0;5,0;0,01217391304347826
5,0;6,0;0,011884057971014493
6,0;7,0;0,01178743961352657
7,0;8,0;0,010821256038647344
8,0;9,0;0,01140096618357488
9,0;10,0;0,00966183574879227
10,0;11,0;0,015169082125603865
11,0;12,0;0,014106280193236715
12,0;13,0;0,011207729468599034
13,0;14,0;0,01323671497584541
14,0;15,0;0,014879227053140097
15,0;16,0;0,013333333333333334
16,0;17,0;0,013429951690821257
17,0;18,0;0,014589371980676329
18,0;19,0;0,012753623188405797
19,0;20,0;0,015942028985507246
20,0;21,0;0,015265700483091787
21,0;22,0;0,012657004830917874
22,0;23,0;0,011014492753623189
23,0;24,0;0,010724637681159421
24,0;25,0;0,009468599033816425
25,0;26,0;0,010821256038647344
26,0;27,0;0,007246376811594203
27,0;28,0;0,007439613526570048
28,0;29,0;0,008019323671497585
29,0;30,0;0,006473429951690821
30,0;31,0;0,006956521739130435
31,0;32,0;0,009468599033816425
32,0;33,0;0,00782608695652174
33,0;34,0;0,005410628019323672
34,0;35,0;0,0055072463768115944
35,0;36,0;0,00502415458937198
36,0;37,0;0,004734299516908212
37,0;38,0;0,004057971014492754
38,0;39,0;0,0044444444444444444
39,0;40,0;0,006473429951690821
40,0;41,0;0,00502415458937198
41,0;42,0;0,006280193236714976
42,0;43,0;0,008792270531400966
43,0;44,0;0,005797101449275362
44,0;45,0;0,00502415458937198
45,0;46,0;0,004251207729468599
46,0;47,0;0,007439613526570048
47,0;48,0;0,005603864734299517
48,0;49,0;0,004541062801932367
49,0;50,0;0,0034782608695652175
50,0;51,0;0,005410628019323672
51,0;52,0;0,00357487922705314
52,0;53,0;0,003864734299516908
53,0;54,0;0,006280193236714976
54,0;55,0;0,005990338164251208
55,0;56,0;0,00608695652173913
56,0;57,0;0,006666666666666667
57,0;58,0;0,007632850241545894
58,0;59,0;0,007439613526570048
59,0;60,0;0,011207729468599034
60,0;61,0;0,009371980676328502
61,0;62,0;0,006376811594202898
62,0;63,0;0,005797101449275362
63,0;64,0;0,006666666666666667
64,0;65,0;0,009951690821256038
65,0;66,0;0,008115942028985508
66,0;67,0;0,008695652173913044
67,0;68,0;0,010724637681159421
68,0;69,0;0,010338164251207729
69,0;70,0;0,010917874396135266
70,0;71,0;0,006473429951690821
71,0;72,0;0,011014492753623189
72,0;73,0;0,010241545893719806
73,0;74,0;0,010434782608695653
74,0;75,0;0,011980676328502415
75,0;76,0;0,01004830917874396
76,0;77,0;0,012077294685990338
77,0;78,0;0,011111111111111112
78,0;79,0;0,008985507246376812
79,0;80,0;0,257487922705314
