#histogram type: continuous-time histogram
#queue_occupancy_over_time
#(lowerBound+upperBound)/2 ; probability
0,5;0,041541388336339774
1,5;0,02015893993818569
2,5;0,022313102548649252
3,5;0,015522911924724372
4,5;0,02100628443386325
5,5;0,013008739073888857
6,5;0,01228808333433916
7,5;0,01157087614259237
8,5;0,011977441778303571
9,5;0,00996385286643747
10,5;0,010827623339807831
11,5;0,008365813964821727
12,5;0,009370430390563466
13,5;0,011777244503218992
14,5;0,012337361267417548
15,5;0,01243836741753955
16,5;0,012221018154698405
17,5;0,013509141510342331
18,5;0,013637826794145564
19,5;0,012500895034281742
20,5;0,012518047022038308
21,5;0,009768011651735513
22,5;0,008501305592972803
23,5;0,00913402336354836
24,5;0,011811548478732125
25,5;0,012049861282164629
26,5;0,008405472264555163
27,5;0,011696385132366609
28,5;0,009317340904650286
29,5;0,005698180736756828
30,5;0,008301108317888226
31,5;0,011532397609212559
32,5;0,006317104316120754
33,5;0,006793457669211846
34,5;0,0078775721969364
35,5;0,00870576817718203
36,5;0,006859161579983031
37,5;0,008841350556591078
38,5;0,00508061842626247
39,5;0,008388774033088454
40,5;0,005263300708558597
41,5;0,003882701821041968
42,5;0,007084496953525646
43,5;0,0039054803867927517
44,5;0,004980973545010038
45,5;0,005199502574204808
46,5;0,0014309658356906729
47,5;0,0026597378686214
48,5;0,003185187652274939
49,5;0,003961020156671157
50,5;0,006070986904502723
51,5;0,006233159402497347
52,5;0,004099960332625141
53,5;0,004184903510086231
54,5;0,005749092192478699
55,5;0,0044008915040578064
56,5;0,0040571257388627106
57,5;0,006316378306056984
58,5;0,007132413617734466
59,5;0,005559875819608643
60,5;0,006172446810914581
61,5;0,0061029313473086036
62,5;0,007255563074801452
63,5;0,006257934495923499
64,5;0,008207180765887981
65,5;0,007803609921689832
66,5;0,00626020327737278
67,5;0,008224877261192375
68,5;0,008931920312046385
69,5;0,00791877326805535
70,5;0,00805027184085569
71,5;0,008881644115130313
72,5;0,013057290996903476
73,5;0,009455464319282528
74,5;0,01046316628779529
75,5;0,010828077096097687
76,5;0,011020651265512679
77,5;0,01323316693485176
78,5;0,010597659652108682
79,5;0,2619841800592079
