#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; probability density
0,0;1,0;0,058650538962272854
1,0;2,0;0,024893735777768235
2,0;3,0;0,020912424847740023
3,0;4,0;0,0207962026720898
4,0;5,0;0,023395175376882498
5,0;6,0;0,01871406581643953
6,0;7,0;0,017764478779250557
7,0;8,0;0,019241699190313176
8,0;9,0;0,017113651599585274
9,0;10,0;0,020550580239424483
10,0;11,0;0,02452917053329995
11,0;12,0;0,01832816058214812
12,0;13,0;0,01907752580247076
13,0;14,0;0,018665774524728243
14,0;15,0;0,01620742470108073
15,0;16,0;0,017074202375370422
16,0;17,0;0,015631585055375572
17,0;18,0;0,01221616644511903
18,0;19,0;0,015473193019357751
19,0;20,0;0,014998271970943606
20,0;21,0;0,01909750547421751
21,0;22,0;0,013234534565044672
22,0;23,0;0,016787515340774557
23,0;24,0;0,01498381859138213
24,0;25,0;0,013595528974562477
25,0;26,0;0,01651307116886606
26,0;27,0;0,016860972516898765
27,0;28,0;0,012900661497174577
28,0;29,0;0,009355502550383844
29,0;30,0;0,011044847561481063
30,0;31,0;0,012493161213420728
31,0;32,0;0,00935414223230747
32,0;33,0;0,009668715787469005
33,0;34,0;0,007890865081527688
34,0;35,0;0,010537108839474391
35,0;36,0;0,005822586466280478
36,0;37,0;0,007908294156881233
37,0;38,0;0,01000811514752437
38,0;39,0;0,005966440102857051
39,0;40,0;0,008522392748484415
40,0;41,0;0,00984598223679652
41,0;42,0;0,0073009971556599225
42,0;43,0;0,010875828040491567
43,0;44,0;0,006636566795230895
44,0;45,0;0,007724906276210035
45,0;46,0;0,00490819765931769
46,0;47,0;0,009511599049647783
47,0;48,0;0,008425385065662979
48,0;49,0;0,008773201393815908
49,0;50,0;0,007262993269401218
50,0;51,0;0,007765715818501261
51,0;52,0;0,010005989650530036
52,0;53,0;0,013778746815474129
53,0;54,0;0,010216158793329851
54,0;55,0;0,007572805711295444
55,0;56,0;0,007756108572086869
56,0;57,0;0,015181234752215937
57,0;58,0;0,0106671042356479
58,0;59,0;0,009814184801761272
59,0;60,0;0,006348264382919336
60,0;61,0;0,009376587480567643
61,0;62,0;0,009253223635016457
62,0;63,0;0,010141341299129268
63,0;64,0;0,004567693040825271
64,0;65,0;0,006678141516440082
65,0;66,0;0,00774888188230613
66,0;67,0;0,004501377534602028
67,0;68,0;0,0026759156959876144
68,0;69,0;0,0030973592400242987
69,0;70,0;0,003816627422907161
70,0;71,0;0,0037787935764080037
71,0;72,0;0,004901566108695366
72,0;73,0;0,004905051923766075
73,0;74,0;0,0049106632358311185
74,0;75,0;0,004856420552535697
75,0;76,0;0,002093019400261266
76,0;77,0;0,004096342827361608
77,0;78,0;0,0018687369574190685
78,0;79,0;0,0023053990599351893
79,0;80,0;0,077275078845311
