#histogram type: continuous-time histogram
#queue_occupancy_over_time
#(lowerBound+upperBound)/2 ; probability
0,5;0,058650538962272854
1,5;0,024893735777768235
2,5;0,020912424847740023
3,5;0,0207962026720898
4,5;0,023395175376882498
5,5;0,01871406581643953
6,5;0,017764478779250557
7,5;0,019241699190313176
8,5;0,017113651599585274
9,5;0,020550580239424483
10,5;0,02452917053329995
11,5;0,01832816058214812
12,5;0,01907752580247076
13,5;0,018665774524728243
14,5;0,01620742470108073
15,5;0,017074202375370422
16,5;0,015631585055375572
17,5;0,01221616644511903
18,5;0,015473193019357751
19,5;0,014998271970943606
20,5;0,01909750547421751
21,5;0,013234534565044672
22,5;0,016787515340774557
23,5;0,01498381859138213
24,5;0,013595528974562477
25,5;0,01651307116886606
26,5;0,016860972516898765
27,5;0,012900661497174577
28,5;0,009355502550383844
29,5;0,011044847561481063
30,5;0,012493161213420728
31,5;0,00935414223230747
32,5;0,009668715787469005
33,5;0,007890865081527688
34,5;0,010537108839474391
35,5;0,005822586466280478
36,5;0,007908294156881233
37,5;0,01000811514752437
38,5;0,005966440102857051
39,5;0,008522392748484415
40,5;0,00984598223679652
41,5;0,0073009971556599225
42,5;0,010875828040491567
43,5;0,006636566795230895
44,5;0,007724906276210035
45,5;0,00490819765931769
46,5;0,009511599049647783
47,5;0,008425385065662979
48,5;0,008773201393815908
49,5;0,007262993269401218
50,5;0,007765715818501261
51,5;0,010005989650530036
52,5;0,013778746815474129
53,5;0,010216158793329851
54,5;0,007572805711295444
55,5;0,007756108572086869
56,5;0,015181234752215937
57,5;0,0106671042356479
58,5;0,009814184801761272
59,5;0,006348264382919336
60,5;0,009376587480567643
61,5;0,009253223635016457
62,5;0,010141341299129268
63,5;0,004567693040825271
64,5;0,006678141516440082
65,5;0,00774888188230613
66,5;0,004501377534602028
67,5;0,0026759156959876144
68,5;0,0030973592400242987
69,5;0,003816627422907161
70,5;0,0037787935764080037
71,5;0,004901566108695366
72,5;0,004905051923766075
73,5;0,0049106632358311185
74,5;0,004856420552535697
75,5;0,002093019400261266
76,5;0,004096342827361608
77,5;0,0018687369574190685
78,5;0,0023053990599351893
79,5;0,077275078845311
