#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; probability density
0,0;1,0;0,05162454873646209
1,0;2,0;0,022382671480144403
2,0;3,0;0,01967509025270758
3,0;4,0;0,0203971119133574
4,0;5,0;0,020487364620938628
5,0;6,0;0,0148014440433213
6,0;7,0;0,01660649819494585
7,0;8,0;0,020577617328519857
8,0;9,0;0,02292418772563177
9,0;10,0;0,023014440433212997
10,0;11,0;0,023736462093862817
11,0;12,0;0,021931407942238267
12,0;13,0;0,016696750902527077
13,0;14,0;0,020667870036101082
14,0;15,0;0,01832129963898917
15,0;16,0;0,01895306859205776
16,0;17,0;0,016335740072202166
17,0;18,0;0,015613718411552346
18,0;19,0;0,015342960288808664
19,0;20,0;0,017057761732851985
20,0;21,0;0,015342960288808664
21,0;22,0;0,015072202166064983
22,0;23,0;0,017509025270758122
23,0;24,0;0,014350180505415162
24,0;25,0;0,016064981949458483
25,0;26,0;0,013898916967509025
26,0;27,0;0,013628158844765342
27,0;28,0;0,010379061371841155
28,0;29,0;0,01164259927797834
29,0;30,0;0,013628158844765342
30,0;31,0;0,011101083032490975
31,0;32,0;0,00911552346570397
32,0;33,0;0,00776173285198556
33,0;34,0;0,006678700361010831
34,0;35,0;0,007310469314079422
35,0;36,0;0,009025270758122744
36,0;37,0;0,010108303249097473
37,0;38,0;0,010379061371841155
38,0;39,0;0,009657039711191336
39,0;40,0;0,007129963898916967
40,0;41,0;0,007310469314079422
41,0;42,0;0,010379061371841155
42,0;43,0;0,01164259927797834
43,0;44,0;0,009025270758122744
44,0;45,0;0,00947653429602888
45,0;46,0;0,007490974729241877
46,0;47,0;0,008303249097472924
47,0;48,0;0,010830324909747292
48,0;49,0;0,00911552346570397
49,0;50,0;0,008303249097472924
50,0;51,0;0,009657039711191336
51,0;52,0;0,009747292418772563
52,0;53,0;0,00983754512635379
53,0;54,0;0,010018050541516246
54,0;55,0;0,009296028880866426
55,0;56,0;0,008303249097472924
56,0;57,0;0,01164259927797834
57,0;58,0;0,007220216606498195
58,0;59,0;0,008393501805054151
59,0;60,0;0,00884476534296029
60,0;61,0;0,00776173285198556
61,0;62,0;0,008574007220216607
62,0;63,0;0,009296028880866426
63,0;64,0;0,00631768953068592
64,0;65,0;0,005595667870036101
65,0;66,0;0,005234657039711191
66,0;67,0;0,006588447653429603
67,0;68,0;0,006046931407942238
68,0;69,0;0,004963898916967509
69,0;70,0;0,0047833935018050545
70,0;71,0;0,003249097472924188
71,0;72,0;0,004151624548736462
72,0;73,0;0,0048736462093862815
73,0;74,0;0,006678700361010831
74,0;75,0;0,004332129963898917
75,0;76,0;0,004422382671480145
76,0;77,0;0,002707581227436823
77,0;78,0;0,005415162454873646
78,0;79,0;0,004422382671480145
79,0;80,0;0,0628158844765343
